iter	Passed	Remaining
0	137	137602
1	139	69754
2	141	46917
3	142	35509
4	144	28669
5	145	24103
6	147	20868
7	148	18390
8	150	16540
9	151	15037
10	153	13797
11	155	12780
12	157	11958
13	159	11212
14	160	10548
15	162	9977
16	165	9552
17	166	9087
18	168	8692
19	169	8308
20	171	7976
21	172	7663
22	173	7389
23	175	7137
24	176	6895
25	178	6698
26	180	6497
27	182	6318
28	183	6137
29	184	5965
30	186	5837
31	188	5696
32	189	5552
33	190	5416
34	191	5287
35	193	5168
36	194	5054
37	195	4945
38	196	4845
39	197	4742
40	198	4649
41	200	4575
42	202	4503
43	204	4433
44	205	4357
45	206	4278
46	207	4206
47	208	4140
48	209	4071
49	211	4011
50	212	3950
51	213	3885
52	214	3829
53	215	3780
54	216	3728
55	218	3678
56	219	3626
57	220	3576
58	221	3528
59	222	3488
60	224	3456
61	225	3417
62	227	3380
63	228	3342
64	231	3325
65	233	3297
66	234	3260
67	235	3226
68	236	3191
69	237	3157
70	239	3129
71	240	3099
72	241	3071
73	242	3039
74	243	3009
75	245	2982
76	246	2956
77	247	2929
78	249	2904
79	250	2880
80	252	2862
81	254	2843
82	255	2819
83	256	2796
84	257	2773
85	258	2747
86	259	2727
87	260	2704
88	262	2684
89	263	2662
90	264	2638
91	265	2617
92	266	2598
93	267	2580
94	269	2565
95	270	2549
96	272	2535
97	274	2526
98	276	2517
99	278	2503
100	279	2488
101	280	2471
102	282	2459
103	283	2443
104	284	2426
105	285	2409
106	286	2394
107	288	2378
108	289	2365
109	290	2353
110	292	2339
111	293	2324
112	294	2310
113	295	2297
114	297	2285
115	298	2272
116	299	2257
117	300	2242
118	301	2231
119	302	2218
120	304	2212
121	305	2199
122	306	2188
123	308	2177
124	309	2165
125	310	2153
126	311	2141
127	312	2130
128	313	2118
129	314	2107
130	316	2097
131	317	2085
132	317	2072
133	319	2064
134	320	2054
135	321	2045
136	322	2034
137	324	2025
138	325	2014
139	326	2008
140	327	1998
141	329	1989
142	330	1981
143	331	1972
144	332	1963
145	334	1955
146	335	1947
147	336	1938
148	337	1928
149	338	1920
150	339	1910
151	340	1899
152	341	1892
153	342	1884
154	344	1875
155	345	1869
156	346	1861
157	347	1853
158	349	1846
159	350	1841
160	351	1833
161	353	1828
162	354	1822
163	356	1815
164	357	1808
165	358	1801
166	359	1793
167	360	1786
168	361	1779
169	362	1771
170	364	1765
171	365	1758
172	366	1751
173	367	1744
174	368	1737
175	369	1732
176	371	1726
177	372	1720
178	373	1713
179	374	1708
180	376	1702
181	377	1695
182	378	1689
183	380	1686
184	381	1680
185	382	1674
186	383	1668
187	384	1662
188	386	1657
189	387	1651
190	388	1645
191	389	1639
192	390	1632
193	391	1625
194	392	1619
195	393	1613
196	394	1609
197	395	1603
198	397	1598
199	398	1592
200	399	1586
201	399	1579
202	401	1574
203	402	1569
204	403	1564
205	404	1557
206	405	1552
207	406	1547
208	408	1544
209	410	1543
210	411	1538
211	412	1532
212	413	1527
213	414	1521
214	415	1515
215	416	1511
216	417	1506
217	418	1500
218	419	1495
219	420	1490
220	421	1485
221	422	1479
222	423	1474
223	424	1471
224	425	1466
225	426	1461
226	427	1456
227	428	1451
228	429	1446
229	430	1441
230	432	1438
231	433	1433
232	434	1429
233	435	1426
234	436	1421
235	437	1416
236	439	1414
237	440	1410
238	441	1406
239	442	1401
240	443	1396
241	444	1391
242	445	1386
243	446	1382
244	447	1377
245	448	1373
246	449	1369
247	450	1365
248	451	1361
249	452	1357
250	453	1352
251	454	1349
252	455	1345
253	456	1340
254	457	1336
255	458	1331
256	458	1326
257	459	1322
258	460	1318
259	461	1314
260	462	1310
261	464	1307
262	464	1302
263	465	1298
264	466	1293
265	467	1289
266	468	1285
267	469	1282
268	470	1279
269	471	1275
270	472	1270
271	473	1266
272	473	1261
273	474	1257
274	475	1253
275	477	1251
276	478	1248
277	479	1245
278	480	1241
279	481	1237
280	482	1234
281	483	1230
282	484	1226
283	485	1223
284	486	1220
285	487	1217
286	488	1213
287	489	1210
288	490	1207
289	492	1204
290	493	1202
291	495	1200
292	496	1198
293	498	1195
294	499	1194
295	501	1192
296	502	1189
297	503	1186
298	504	1183
299	505	1180
300	507	1178
301	508	1175
302	509	1171
303	510	1168
304	511	1165
305	512	1162
306	513	1159
307	515	1157
308	516	1155
309	518	1153
310	519	1150
311	520	1146
312	521	1143
313	522	1141
314	523	1138
315	524	1135
316	525	1131
317	526	1128
318	527	1126
319	528	1123
320	530	1121
321	531	1118
322	532	1116
323	533	1113
324	534	1110
325	535	1107
326	537	1106
327	539	1104
328	540	1102
329	541	1099
330	542	1097
331	544	1095
332	546	1094
333	547	1091
334	548	1088
335	549	1086
336	550	1083
337	552	1082
338	553	1079
339	554	1077
340	556	1074
341	556	1071
342	558	1069
343	560	1068
344	561	1065
345	562	1062
346	563	1059
347	564	1056
348	564	1053
349	566	1051
350	567	1049
351	569	1047
352	570	1044
353	571	1042
354	572	1039
355	572	1036
356	573	1033
357	575	1031
358	576	1029
359	577	1027
360	578	1024
361	579	1021
362	580	1019
363	582	1017
364	584	1016
365	585	1013
366	586	1011
367	587	1008
368	588	1005
369	590	1005
370	591	1003
371	592	1000
372	593	998
373	594	995
374	595	993
375	597	991
376	599	989
377	600	988
378	601	985
379	602	983
380	604	981
381	606	980
382	608	979
383	609	977
384	610	975
385	612	974
386	614	972
387	616	972
388	617	970
389	618	967
390	620	967
391	622	965
392	623	963
393	625	962
394	629	964
395	631	962
396	632	960
397	633	958
398	636	959
399	638	957
400	639	955
401	641	953
402	644	954
403	646	953
404	647	951
405	648	949
406	650	948
407	652	946
408	653	943
409	654	942
410	656	940
411	658	939
412	659	937
413	661	935
414	663	934
415	667	936
416	669	935
417	670	933
418	671	930
419	673	930
420	675	928
421	677	928
422	680	927
423	682	926
424	683	924
425	684	922
426	685	920
427	688	919
428	690	918
429	691	916
430	692	913
431	693	911
432	695	910
433	697	909
434	698	907
435	699	905
436	701	903
437	703	902
438	705	901
439	706	899
440	707	897
441	709	896
442	711	894
443	712	892
444	713	890
445	715	888
446	718	889
447	719	886
448	720	884
449	722	882
450	723	880
451	725	879
452	726	877
453	728	875
454	729	873
455	745	889
456	746	887
457	748	885
458	749	883
459	750	881
460	751	879
461	752	876
462	753	874
463	754	871
464	756	870
465	757	868
466	758	866
467	759	863
468	760	861
469	761	859
470	763	857
471	764	854
472	765	852
473	766	850
474	767	848
475	768	846
476	769	843
477	771	842
478	772	840
479	773	838
480	774	835
481	775	833
